Job Preparation Study,...2,...3,...4,...5,...6,...7,...8
GPA Data,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
ID,School Code,Age,Gender,S1 Credits,S1 GPA,S2 Credits,S2 GPA
545,9,22,f,16,3.13,16,2.89
837,1,21,m,17,1.97,16,1.48
417,5,22,m,17,3.68,15,3.06
268,5,23,m,15,3.59,16,2.98
729,5,22,f,17,2.31,15,2.21
936,9,22,f,18,2.83,16,3.51
402,13,23,m,16,3.9,17,3.76
735,10,22,f,18,2.2000000000000002,17,2.15
902,7,23,f,16,3.75,16,3.41
126,7,22,m,16,1.86,16,1.95
684,1,22,m,16,2.5099999999999998,17,2.6
526,14,22,m,16,3.39,16,3.1
418,8,22,m,16,2.94,16,3.45
617,21,22,m,15,3.51,16,3
745,2,22,f,16,3.34,17,2.91
866,19,22,f,16,2.48,12,2.37
157,17,22,f,16,2.42,16,2.6
404,4,22,m,15,2.46,13,2.2599999999999998
433,10,21,m,10,3.6,12,3.08
257,15,23,f,15,2.54,17,2.79
308,22,22,f,16,1.38,12,0.53
772,17,23,m,16,1.28,15,1.46
136,7,22,m,17,3.91,17,3.72
469,14,22,m,15,2.35,17,2.1800000000000002
427,16,20,f,16,3.76,15,3.49
214,17,22,f,13,1.64,17,1.91
841,22,24,f,17,3.14,16,3.2
646,2,22,f,17,2.78,17,2.9
582,16,22,m,16,3.93,17,3.72
775,22,22,m,17,2.59,16,2.16
309,16,22,f,17,1.59,16,1.6
888,16,22,f,17,3.37,9,3.14
959,4,22,m,16,2.27,17,2.38
191,13,22,f,16,1.29,16,1.34
991,13,22,f,16,2.34,16,2.76
820,7,22,f,16,2.4,17,2.39
685,9,22,m,16,2.33,18,2.42
388,14,22,m,15,3.05,17,2.65
350,14,22,m,15,3.49,16,3.49
226,1,22,m,17,3.81,16,3.9
224,21,22,f,14,3.43,16,3.71
498,6,22,f,16,2.78,15,2.58
640,20,22,f,17,2.73,16,1.5
571,2,22,f,12,2.66,16,3.01
375,20,22,f,18,2.65,13,2.99
555,8,21,m,15,3.71,16,3.45
208,5,22,f,16,2.41,15,2.54
788,8,22,f,16,0.55000000000000004,15,1.1399999999999999
810,19,22,m,17,2.79,17,2.73
758,20,22,m,16,2.87,16,3.13
693,12,22,f,16,2,18,1.45
454,1,22,m,16,2.57,11,2.94
517,9,22,m,16,1.8,17,1.86
623,23,21,f,17,2.83,17,2.86
638,6,21,m,16,2.2200000000000002,15,2.09
705,10,22,f,16,3.43,16,3.86
956,16,23,m,16,3.05,16,3.21
954,13,22,f,16,2.57,16,2.76
697,6,23,f,17,2.96,17,2.31
169,9,22,m,16,2.64,17,2.5099999999999998
631,7,23,m,16,3.3,17,3.82
871,12,22,m,16,3.09,16,3.43
246,4,23,m,17,2.42,17,2.2599999999999998
423,10,22,m,17,2.86,16,3.2
533,21,22,f,17,2.4,12,2.4300000000000002
718,9,22,m,17,1.8,16,1.42
557,9,24,f,18,2.59,17,2.76
347,22,22,f,18,3.56,17,3.03
104,15,22,m,16,2.88,16,3.83
549,8,22,m,18,2,15,2.34
782,22,23,m,16,3.74,16,3.18
923,7,22,m,15,2.06,17,1.85
864,10,22,m,15,2.82,16,2.2200000000000002
409,19,22,m,16,3.12,15,2.97
326,15,23,f,15,0.96,16,1.19
789,21,22,m,16,2.98,17,3.25
497,21,22,m,15,2.75,17,2.82
749,8,22,f,16,2.99,17,2.17
357,17,22,f,15,2.2599999999999998,17,1.91
603,13,22,f,17,2.36,14,1.55
209,19,22,m,17,3.66,15,3.01
676,11,22,m,16,2.09,17,2.08
613,10,22,m,15,1.5,15,1.69
196,8,25,f,16,3.26,11,2.98
298,6,23,f,15,2.95,15,3.13
439,21,22,m,16,0.7,16,1.57
203,21,22,m,17,3.25,16,2.4300000000000002
746,8,21,m,16,3.03,17,2.91
854,9,22,f,16,1.3,17,0.87
560,17,23,m,17,1.93,16,2.13
192,8,22,m,17,2.42,17,2.19
561,20,21,f,12,3.01,17,3.14
802,1,23,m,18,2.75,13,2.81
534,22,22,m,17,1.42,16,1.95
300,20,23,f,17,2.44,13,2.62
198,18,21,m,16,2.14,15,2.71
356,13,22,f,11,1.66,17,1.58
441,8,22,m,17,2.46,17,2.99
822,23,23,f,16,3.25,17,3.15
207,1,21,m,16,2.4700000000000002,17,2.4900000000000002
511,19,22,f,17,3.65,17,2.75
678,13,21,m,16,2.4700000000000002,15,1.87
944,9,22,f,16,2.4300000000000002,15,1.69
432,10,22,f,16,1.1200000000000001,17,1.66
584,5,22,f,15,3.24,18,3.58
835,6,21,f,15,3.58,15,3.28
515,17,21,f,16,2.4700000000000002,16,2.39
938,12,22,f,17,3,14,3.15
762,18,22,m,15,2.0699999999999998,15,2.77
776,6,20,f,16,2.7,15,3.09
618,23,22,f,17,0.92,17,0.63
178,20,22,f,17,3,18,2.73
913,11,22,f,15,2.78,16,2.63
193,3,21,m,10,3.42,15,3.01
546,5,21,f,16,2.14,16,2.21
761,22,22,m,17,3.2,16,2.66
429,18,23,m,17,3.17,16,2.3199999999999998
537,5,22,m,15,1.46,17,1.37
516,13,22,f,18,1.99,15,0.95
898,20,23,m,16,2.27,16,1.95
116,6,22,m,17,3.18,15,2.4900000000000002
695,5,22,m,16,3.53,9,3.57
262,15,22,m,16,3.05,16,3.39
607,8,22,m,15,1.67,16,1.51
690,7,22,m,16,2.89,17,2.81
244,5,22,m,16,1.95,16,2.2799999999999998
340,17,22,f,12,2.6,16,2.27
490,19,22,f,14,2.5099999999999998,12,2.57
783,23,21,f,17,2.3199999999999998,15,1.81
725,11,22,m,16,2.2200000000000002,12,2.77
806,5,22,m,17,2.46,12,3.13
862,17,22,f,12,2.44,16,2.95
664,10,23,f,16,1.1599999999999999,16,1.02
253,15,22,f,16,3.32,16,3.91
293,20,22,f,16,2.98,15,1.96
847,18,22,f,10,3.46,15,3
565,3,21,f,16,2.09,16,1.8
568,9,22,f,13,2.31,15,1.58
823,9,22,f,15,1.52,17,1.1599999999999999
703,13,22,m,16,3.03,16,2.75
737,22,22,f,17,3.01,17,2.63
793,6,22,f,17,2.62,16,3.21
579,23,23,m,17,3.28,16,2.79
160,15,21,m,17,2.77,15,2.75
894,22,21,m,14,2.2599999999999998,17,2.64
576,19,22,f,17,2.86,16,3.39
484,10,23,m,17,2.4900000000000002,16,2.44
732,22,22,m,16,2.73,17,3.03
831,10,23,m,13,2.37,17,2.9
890,22,21,f,16,1.88,16,2.0299999999999998
235,18,22,f,17,1.51,12,1.75
899,20,22,f,16,2.97,16,3.17
748,1,23,m,17,3.64,16,3.76
846,23,22,m,16,3.7,14,2.73
933,15,22,m,16,2.57,15,3.58
259,16,22,f,17,2.34,12,3.13
237,8,22,f,17,2.76,16,2.64
970,19,21,m,16,3.31,17,3.67
910,21,23,f,17,3.31,14,3.3
539,12,22,f,17,1.55,14,2.29
459,1,21,m,16,2.29,13,2.63
529,10,22,f,16,2.78,16,2.83
976,15,23,m,15,3.07,13,3.14
528,4,22,m,16,2.27,17,2.59
581,18,22,f,16,3.32,18,2.1800000000000002
384,13,23,m,16,2.84,15,3.06
530,2,22,m,17,2.86,17,3.43
586,8,21,f,17,2.38,16,2.64
176,21,22,f,16,2.41,17,3.27
159,10,22,m,15,2.65,16,2.2000000000000002
492,10,22,m,13,2.54,16,2.63
284,14,22,f,16,2.86,16,2.69
181,9,22,m,17,3.32,12,2.38
578,22,21,f,17,3.37,16,3.63
229,22,21,m,16,1.44,16,1.85
743,20,22,m,16,2.88,15,3.02
